1;abstract:what abstract:effect abstract:calcium abstract:physic abstract:properti abstract:mucu abstract:from abstract:cf abstract:patient
2;abstract:can abstract:on abstract:distinguish abstract:between abstract:effect abstract:mucu abstract:hypersecret abstract:infect abstract:submucos abstract:gland abstract:respiratori abstract:tract abstract:cf
3;abstract:how abstract:salivari abstract:glycoprotein abstract:from abstract:cf abstract:patient abstract:differ abstract:from abstract:those abstract:normal abstract:subject
4;abstract:what abstract:lipid abstract:composit abstract:cf abstract:respiratori abstract:secret
5;abstract:cf abstract:mucu abstract:abnorm
6;abstract:what abstract:effect abstract:water abstract:other abstract:therapeut abstract:agent abstract:physic abstract:properti abstract:viscos abstract:elast abstract:sputum abstract:bronchial abstract:secret abstract:from abstract:cf abstract:patient
7;abstract:mucu abstract:glycoprotein abstract:degrad abstract:differ abstract:cf abstract:patient abstract:compar abstract:those abstract:from abstract:normal abstract:subject
8;abstract:what abstract:histochem abstract:differ abstract:have abstract:been abstract:describ abstract:between abstract:normal abstract:cf abstract:respiratori abstract:epithelia
9;abstract:what abstract:associ abstract:between abstract:liver abstract:diseas abstract:cirrhosi abstract:vitamin abstract:metabol abstract:cf
10;abstract:what abstract:role abstract:vitamin abstract:e abstract:therapi abstract:patient abstract:cf
11;abstract:what abstract:differ abstract:between abstract:meconium abstract:ileu abstract:meconium abstract:plug abstract:syndrom
12;abstract:what abstract:abnorm abstract:amino abstract:acid abstract:transport abstract:have abstract:been abstract:describ abstract:small abstract:bowel abstract:cf abstract:patient
13;abstract:what abstract:clinic abstract:biochem abstract:featur abstract:pancreat abstract:cf abstract:patient
14;abstract:what (abstract:non abstract:invas) abstract:test abstract:can abstract:perform abstract:evalu abstract:exocrin abstract:pancreat abstract:function abstract:patient abstract:cf
15;abstract:what abstract:hepat abstract:complic abstract:manifest abstract:cf
16;abstract:what abstract:gastrointestin abstract:complic abstract:cf abstract:after abstract:neonat abstract:period abstract:exclud abstract:liver abstract:diseas abstract:meconium abstract:ileu
17;abstract:what abstract:most abstract:effect abstract:regimen abstract:us abstract:pancreat abstract:enzym abstract:supplement abstract:treatment abstract:cf abstract:patient
18;abstract:dietari abstract:supplement abstract:bile abstract:salt abstract:therapeut abstract:benefit abstract:cf abstract:patient
19;abstract:what abstract:complic abstract:pancreat abstract:enzym abstract:therapi abstract:have abstract:been abstract:report abstract:cf abstract:patient
20;abstract:what abstract:effect abstract:treatment abstract:cf abstract:patient abstract:essenti abstract:fatti abstract:acid abstract:supplement
21;abstract:doe abstract:pancreat abstract:insuffici abstract:cf abstract:patient abstract:affect abstract:abil abstract:absorb abstract:metabol abstract:iron
22;abstract:what abstract:frequenc abstract:cf (abstract:non abstract:caucasian) abstract:popul
23;abstract:what abstract:congenit abstract:hereditari abstract:diseas abstract:condit abstract:have abstract:been abstract:found abstract:associ abstract:cf
24;abstract:what abstract:characterist abstract:patient abstract:whom abstract:cf abstract:incomplet abstract:manifest
25;abstract:what abstract:evid abstract:genet abstract:basi abstract:cf abstract:involv abstract:more abstract:than abstract:on abstract:gene
26;abstract:what abstract:heterozygot abstract:advantag abstract:cf
27;abstract:what abstract:concord abstract:clinic abstract:biochem abstract:manifest abstract:cf abstract:sibl abstract:pair abstract:both abstract:whom abstract:have abstract:cf
28;abstract:what abstract:incid abstract:male abstract:fertil abstract:cf
29;abstract:what abstract:patholog abstract:reproduct abstract:system abstract:male abstract:femal abstract:cf
30;abstract:what abstract:result abstract:genet abstract:counsel abstract:famili abstract:children abstract:cf
31;abstract:what abstract:major abstract:psycholog abstract:social abstract:effect abstract:cf abstract:patient abstract:famili
32;abstract:what abstract:factor abstract:influenc abstract:complianc abstract:prescrib abstract:therapi abstract:cf abstract:patient
33;abstract:what abstract:condit abstract:factor abstract:lead abstract:erron abstract:sweat abstract:test
34;abstract:what abstract:altern abstract:techniqu abstract:other abstract:than abstract:classic (abstract:gibson abstract:cook) abstract:quantit abstract:pilocarpin abstract:iontophoresi abstract:test abstract:titrimetr abstract:analysi abstract:chlorid abstract:avail abstract:sweat abstract:test abstract:what abstract:rel abstract:advantag abstract:disadvantag
35;abstract:ha abstract:ani abstract:cf abstract:patient abstract:been abstract:found abstract:have abstract:consist abstract:normal abstract:sweat abstract:test
36;abstract:what abstract:concentr abstract:potassium abstract:sweat abstract:from abstract:cf abstract:patient
37;abstract:what abstract:techniqu abstract:avail abstract:screen abstract:newborn abstract:infant abstract:cf abstract:what abstract:factor abstract:contribut abstract:erron abstract:result abstract:test
38;abstract:can abstract:cf abstract:diagnos abstract:prenat
39;abstract:how abstract:mai abstract:heterozygot abstract:cf abstract:identifi
40;abstract:other abstract:than abstract:sweat abstract:test abstract:what abstract:techniqu abstract:mai abstract:us abstract:beyond abstract:neonat abstract:period abstract:diagnosi abstract:cf
41;abstract:vitamin abstract:d abstract:metabol abstract:normal abstract:cf abstract:patient
42;abstract:what abstract:abnorm abstract:insulin abstract:secret abstract:insulin abstract:metabol abstract:occur abstract:cf abstract:patient
43;abstract:salt abstract:sodium abstract:chlorid (abstract:transport abstract:permeabl) abstract:abnorm abstract:cf
44;abstract:what abstract:structur abstract:enzymat abstract:differ abstract:between abstract:fibroblast abstract:from abstract:cf abstract:patient (abstract:non abstract:cf) abstract:patient
45;abstract:what abstract:abnorm abstract:prostaglandin abstract:metabol abstract:have abstract:been abstract:describ abstract:cf abstract:patient
46;abstract:what abstract:properti abstract:activ abstract:galactosyltransferas abstract:enzym abstract:from abstract:cf abstract:patient
47;abstract:what abstract:differ abstract:between abstract:normal abstract:subject abstract:cf abstract:patient abstract:have abstract:been abstract:describ abstract:function abstract:metabol abstract:hormon
48;abstract:do abstract:fibroblast abstract:from abstract:cf abstract:patient abstract:grow abstract:normal abstract:rate
49;abstract:rna abstract:methyl abstract:polyamin abstract:metabol abstract:normal abstract:cf abstract:patient
50;abstract:what abstract:defect abstract:synthesi abstract:metabol abstract:cyclic abstract:nucleotid abstract:have abstract:been abstract:describ abstract:cf abstract:patient
51;abstract:what abstract:circul abstract:secret abstract:factor abstract:have abstract:been abstract:describ abstract:cf abstract:patient abstract:factor abstract:unidentifi abstract:biolog abstract:activ abstract:molecul abstract:thought abstract:plai abstract:some abstract:pathogenet abstract:role abstract:cystic abstract:fibrosi
52;abstract:what abstract:known abstract:about abstract:prolactin abstract:cf abstract:patient
53;abstract:doe abstract:secretori abstract:iga abstract:protect abstract:cf abstract:patient abstract:against abstract:bacteri abstract:colon abstract:infect
54;abstract:what abstract:relationship abstract:allergi abstract:hypersensit abstract:lung abstract:diseas abstract:cf abstract:patient
55;abstract:what abstract:interact abstract:between abstract:proteas abstract:endogen abstract:bacteri abstract:origin abstract:antiproteas abstract:lung abstract:cf abstract:patient
56;abstract:what abstract:relationship abstract:between abstract:nutrit abstract:pulmonari abstract:host abstract:defens abstract:against abstract:bacteri abstract:infect abstract:cf abstract:patient
57;abstract:what abstract:pathophysiolog abstract:role abstract:circul abstract:antibodi abstract:pseudomona abstract:aeruginosa abstract:cf abstract:patient
58;abstract:what abstract:immunolog abstract:respons abstract:pulmonari abstract:infect abstract:cf abstract:patient
59;abstract:what abstract:immunolog abstract:abnorm abstract:have abstract:been abstract:found abstract:cf abstract:patient
60;abstract:what abstract:effect abstract:cf abstract:pulmonari abstract:circul
